N ,01-A (mass number),01-Z (atomic number),01-q (ion charge),01-TKE [MeV],01-Energy Loss (MeV),01-Time from Target [ns],01-Momentum [GeV/c],01-Brho [T*m],02-A (mass number),02-Z (atomic number),02-q (ion charge),02-TKE [MeV],02-Energy Loss (MeV),02-Time from Target [ns],02-Momentum [GeV/c],02-Brho [T*m],03-A (mass number),03-Z (atomic number),03-q (ion charge),03-TKE [MeV],03-Energy Loss (MeV),03-Time from Target [ns],03-Momentum [GeV/c],03-Brho [T*m],04-A (mass number),04-Z (atomic number),04-q (ion charge),04-TKE [MeV],04-Energy Loss (MeV),04-Time from Target [ns],04-Momentum [GeV/c],04-Brho [T*m]
12,1.910000e+02,7.400000e+01,7.200000e+01,1.296687e+04,0.000000e+00,7.388621e+02,6.914040e+01,3.203160e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.185144e+04,1.115422e+03,7.388621e+02,6.599969e+01,3.057656e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.065666e+04,1.194780e+03,7.388621e+02,6.248270e+01,2.894720e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.756577e+03,4.900055e+03,7.388621e+02,4.561497e+01,2.113266e+00
13,1.890000e+02,7.300000e+01,7.100000e+01,1.278990e+04,0.000000e+00,7.401354e+02,6.830251e+01,3.208910e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.169468e+04,1.095217e+03,7.401354e+02,6.521451e+01,3.063833e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.053669e+04,1.157991e+03,7.401354e+02,6.180299e+01,2.903557e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.790432e+03,4.746230e+03,7.401354e+02,4.551464e+01,2.138317e+00
14,1.880000e+02,7.300000e+01,7.100000e+01,1.284745e+04,0.000000e+00,7.372316e+02,6.828601e+01,3.208135e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.174951e+04,1.097927e+03,7.372316e+02,6.520418e+01,3.063348e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.060995e+04,1.139560e+03,7.372316e+02,6.186388e+01,2.906418e+00,1.880000e+02,7.300000e+01,7.100000e+01,5.880721e+03,4.729203e+03,7.372316e+02,4.575410e+01,2.149567e+00
15,1.910000e+02,7.400000e+01,7.200000e+01,1.295747e+04,0.000000e+00,7.390606e+02,6.911446e+01,3.201958e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.182262e+04,1.134849e+03,7.390606e+02,6.591680e+01,3.053816e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.064895e+04,1.173665e+03,7.390606e+02,6.245943e+01,2.893642e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.782944e+03,4.865979e+03,7.390606e+02,4.572099e+01,2.118178e+00
16,1.930000e+02,7.500000e+01,7.300000e+01,1.317571e+04,0.000000e+00,7.370159e+02,7.006598e+01,3.201575e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.201085e+04,1.164855e+03,7.370159e+02,6.679241e+01,3.051993e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.081703e+04,1.193816e+03,7.370159e+02,6.328418e+01,2.891689e+00,1.930000e+02,7.500000e+01,7.300000e+01,5.854238e+03,4.962764e+03,7.370159e+02,4.624300e+01,2.113014e+00
17,1.910000e+02,7.400000e+01,7.200000e+01,1.291105e+04,0.000000e+00,7.402174e+02,6.898620e+01,3.196017e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.176185e+04,1.149200e+03,7.402174e+02,6.574173e+01,3.045705e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.057302e+04,1.188816e+03,7.402174e+02,6.222993e+01,2.883010e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.657215e+03,4.915786e+03,7.402174e+02,4.521337e+01,2.094661e+00
18,1.890000e+02,7.300000e+01,7.100000e+01,1.274791e+04,0.000000e+00,7.409927e+02,6.818635e+01,3.203453e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.164925e+04,1.098651e+03,7.409927e+02,6.508365e+01,3.057686e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.048587e+04,1.163381e+03,7.409927e+02,6.164944e+01,2.896344e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.701328e+03,4.784514e+03,7.409927e+02,4.515746e+01,2.121536e+00
19,1.860000e+02,7.200000e+01,7.000000e+01,1.265075e+04,0.000000e+00,7.383858e+02,6.739366e+01,3.211443e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.157301e+04,1.077731e+03,7.383858e+02,6.436226e+01,3.066991e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.043533e+04,1.137674e+03,7.383858e+02,6.101969e+01,2.907711e+00,1.860000e+02,7.200000e+01,7.000000e+01,5.825712e+03,4.609597e+03,7.383858e+02,4.529682e+01,2.158485e+00
20,1.910000e+02,7.400000e+01,7.200000e+01,1.291494e+04,0.000000e+00,7.400914e+02,6.899694e+01,3.196514e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.177618e+04,1.138750e+03,7.400914e+02,6.578306e+01,3.047620e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.057716e+04,1.199015e+03,7.400914e+02,6.224245e+01,2.883590e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.691465e+03,4.885671e+03,7.400914e+02,4.535218e+01,2.101092e+00
21,1.910000e+02,7.400000e+01,7.200000e+01,1.294285e+04,0.000000e+00,7.393834e+02,6.907407e+01,3.200088e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.179008e+04,1.152765e+03,7.393834e+02,6.582310e+01,3.049475e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.058567e+04,1.204405e+03,7.393834e+02,6.226820e+01,2.884782e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.692808e+03,4.892834e+03,7.393834e+02,4.535762e+01,2.101343e+00
