N ,01-A (mass number),01-Z (atomic number),01-q (ion charge),01-TKE [MeV],01-Energy Loss (MeV),01-Time from Target [ns],01-Momentum [GeV/c],01-Brho [T*m],02-A (mass number),02-Z (atomic number),02-q (ion charge),02-TKE [MeV],02-Energy Loss (MeV),02-Time from Target [ns],02-Momentum [GeV/c],02-Brho [T*m],03-A (mass number),03-Z (atomic number),03-q (ion charge),03-TKE [MeV],03-Energy Loss (MeV),03-Time from Target [ns],03-Momentum [GeV/c],03-Brho [T*m],04-A (mass number),04-Z (atomic number),04-q (ion charge),04-TKE [MeV],04-Energy Loss (MeV),04-Time from Target [ns],04-Momentum [GeV/c],04-Brho [T*m]
120,1.880000e+02,7.300000e+01,7.100000e+01,1.279109e+04,0.000000e+00,7.381933e+02,6.813080e+01,3.200843e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.171010e+04,1.080990e+03,7.381933e+02,6.509117e+01,3.058039e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.057631e+04,1.133781e+03,7.381933e+02,6.176286e+01,2.901672e+00,1.880000e+02,7.300000e+01,7.100000e+01,5.842655e+03,4.733632e+03,7.381933e+02,4.560334e+01,2.142484e+00
121,1.910000e+02,7.400000e+01,7.200000e+01,1.295133e+04,0.000000e+00,7.392258e+02,6.909750e+01,3.201173e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.182904e+04,1.122284e+03,7.392258e+02,6.593528e+01,3.054672e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.063803e+04,1.191003e+03,7.392258e+02,6.242649e+01,2.892116e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.782069e+03,4.855940e+03,7.392258e+02,4.571747e+01,2.118015e+00
122,1.910000e+02,7.400000e+01,7.200000e+01,1.295013e+04,0.000000e+00,7.391465e+02,6.909420e+01,3.201020e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.180773e+04,1.142397e+03,7.391465e+02,6.587395e+01,3.051831e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.062497e+04,1.182758e+03,7.391465e+02,6.238703e+01,2.890288e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.753384e+03,4.871560e+03,7.391465e+02,4.560212e+01,2.112671e+00
123,1.900000e+02,7.400000e+01,7.200000e+01,1.300725e+04,0.000000e+00,7.360766e+02,6.907598e+01,3.200176e+00,1.900000e+02,7.400000e+01,7.200000e+01,1.187532e+04,1.131922e+03,7.360766e+02,6.590008e+01,3.053042e+00,1.900000e+02,7.400000e+01,7.200000e+01,1.070197e+04,1.173344e+03,7.360766e+02,6.245933e+01,2.893637e+00,1.900000e+02,7.400000e+01,7.200000e+01,5.866561e+03,4.835389e+03,7.360766e+02,4.593646e+01,2.128160e+00
124,1.910000e+02,7.400000e+01,7.200000e+01,1.296217e+04,0.000000e+00,7.391004e+02,6.912742e+01,3.202559e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.184414e+04,1.118021e+03,7.391004e+02,6.597870e+01,3.056684e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.065002e+04,1.194117e+03,7.391004e+02,6.246266e+01,2.893792e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.752044e+03,4.897948e+03,7.391004e+02,4.559673e+01,2.112421e+00
125,1.970000e+02,7.700000e+01,7.300000e+01,1.317673e+04,0.000000e+00,7.432530e+02,7.076639e+01,3.233579e+00,1.970000e+02,7.700000e+01,7.300000e+01,1.195647e+04,1.220252e+03,7.432530e+02,6.730174e+01,3.075266e+00,1.970000e+02,7.700000e+01,7.300000e+01,1.068065e+04,1.275805e+03,7.432530e+02,6.350255e+01,2.901667e+00,1.970000e+02,7.700000e+01,7.300000e+01,5.370798e+03,5.309802e+03,7.432530e+02,4.471323e+01,2.043114e+00
126,1.910000e+02,7.400000e+01,7.200000e+01,1.291461e+04,0.000000e+00,7.400360e+02,6.899605e+01,3.196473e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.176882e+04,1.145789e+03,7.400360e+02,6.576183e+01,3.046637e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.057697e+04,1.191840e+03,7.400360e+02,6.224188e+01,2.883563e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.688440e+03,4.888509e+03,7.400360e+02,4.533994e+01,2.100524e+00
127,1.890000e+02,7.300000e+01,7.100000e+01,1.276149e+04,0.000000e+00,7.408613e+02,6.822395e+01,3.205220e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.165868e+04,1.102808e+03,7.408613e+02,6.511083e+01,3.058962e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.049619e+04,1.162484e+03,7.408613e+02,6.168067e+01,2.897811e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.722263e+03,4.773905e+03,7.408613e+02,4.524162e+01,2.125490e+00
128,1.890000e+02,7.300000e+01,7.100000e+01,1.272507e+04,0.000000e+00,7.418164e+02,6.812312e+01,3.200482e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.160819e+04,1.116873e+03,7.418164e+02,6.496518e+01,3.052120e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.042766e+04,1.180528e+03,7.418164e+02,6.147316e+01,2.888062e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.666930e+03,4.760706e+03,7.418164e+02,4.501887e+01,2.115025e+00
129,1.890000e+02,7.300000e+01,7.100000e+01,1.280533e+04,0.000000e+00,7.397560e+02,6.834513e+01,3.210913e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.171991e+04,1.085414e+03,7.397560e+02,6.528708e+01,3.067243e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.056550e+04,1.154405e+03,7.397560e+02,6.188989e+01,2.907640e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.830148e+03,4.735329e+03,7.397560e+02,4.567300e+01,2.145756e+00
130,1.880000e+02,7.300000e+01,7.100000e+01,1.280449e+04,0.000000e+00,7.380070e+02,6.816773e+01,3.202578e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.171086e+04,1.093625e+03,7.380070e+02,6.509336e+01,3.058142e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.055710e+04,1.153754e+03,7.380070e+02,6.170510e+01,2.898959e+00,1.880000e+02,7.300000e+01,7.100000e+01,5.822166e+03,4.734911e+03,7.380070e+02,4.552200e+01,2.138663e+00
131,1.860000e+02,7.200000e+01,7.000000e+01,1.263870e+04,0.000000e+00,7.386865e+02,6.736043e+01,3.209860e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.155031e+04,1.088387e+03,7.386865e+02,6.429706e+01,3.063884e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.041884e+04,1.131460e+03,7.386865e+02,6.097005e+01,2.905345e+00,1.860000e+02,7.200000e+01,7.000000e+01,5.767867e+03,4.650952e+03,7.386865e+02,4.506768e+01,2.147565e+00
132,1.930000e+02,7.500000e+01,7.300000e+01,1.320589e+04,0.000000e+00,7.361283e+02,7.014904e+01,3.205370e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.205851e+04,1.147381e+03,7.361283e+02,6.692909e+01,3.058239e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.085516e+04,1.203347e+03,7.361283e+02,6.339889e+01,2.896930e+00,1.930000e+02,7.500000e+01,7.300000e+01,5.947317e+03,4.907816e+03,7.361283e+02,4.661511e+01,2.130017e+00
133,1.880000e+02,7.300000e+01,7.100000e+01,1.284330e+04,0.000000e+00,7.369486e+02,6.827461e+01,3.207600e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.175920e+04,1.084095e+03,7.369486e+02,6.523193e+01,3.064652e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.059525e+04,1.163944e+03,7.369486e+02,6.181977e+01,2.904346e+00,1.880000e+02,7.300000e+01,7.100000e+01,5.867998e+03,4.727230e+03,7.369486e+02,4.570377e+01,2.147202e+00
134,1.910000e+02,7.400000e+01,7.200000e+01,1.294791e+04,0.000000e+00,7.393322e+02,6.908805e+01,3.200735e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.181855e+04,1.129346e+03,7.393322e+02,6.590510e+01,3.053274e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.063295e+04,1.185593e+03,7.393322e+02,6.241116e+01,2.891406e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.762001e+03,4.870931e+03,7.393322e+02,4.563680e+01,2.114277e+00
135,1.880000e+02,7.300000e+01,7.100000e+01,1.285472e+04,0.000000e+00,7.366918e+02,6.830603e+01,3.209076e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.176744e+04,1.087276e+03,7.366918e+02,6.525552e+01,3.065760e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.061908e+04,1.148353e+03,7.366918e+02,6.189129e+01,2.907706e+00,1.880000e+02,7.300000e+01,7.100000e+01,5.882780e+03,4.736277e+03,7.366918e+02,4.576225e+01,2.149950e+00
136,1.890000e+02,7.300000e+01,7.100000e+01,1.270095e+04,0.000000e+00,7.423455e+02,6.805628e+01,3.197342e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.157569e+04,1.125254e+03,7.423455e+02,6.487128e+01,3.047708e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.040817e+04,1.167516e+03,7.423455e+02,6.141404e+01,2.885284e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.607723e+03,4.800425e+03,7.423455e+02,4.477936e+01,2.103773e+00
137,1.930000e+02,7.500000e+01,7.300000e+01,1.315600e+04,0.000000e+00,7.374162e+02,7.001170e+01,3.199094e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.199993e+04,1.156059e+03,7.374162e+02,6.676107e+01,3.050561e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.080765e+04,1.192275e+03,7.374162e+02,6.325595e+01,2.890399e+00,1.930000e+02,7.500000e+01,7.300000e+01,5.847935e+03,4.959694e+03,7.374162e+02,4.621770e+01,2.111858e+00
138,1.880000e+02,7.300000e+01,7.100000e+01,1.278453e+04,0.000000e+00,7.385762e+02,6.811270e+01,3.199993e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.170178e+04,1.082741e+03,7.385762e+02,6.506732e+01,3.056918e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.055297e+04,1.148812e+03,7.385762e+02,6.169266e+01,2.898374e+00,1.880000e+02,7.300000e+01,7.100000e+01,5.786692e+03,4.766250e+03,7.385762e+02,4.538085e+01,2.132031e+00
139,1.890000e+02,7.300000e+01,7.100000e+01,1.278124e+04,0.000000e+00,7.404380e+02,6.827855e+01,3.207785e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.168808e+04,1.093148e+03,7.404380e+02,6.519552e+01,3.062941e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.053556e+04,1.152517e+03,7.404380e+02,6.179959e+01,2.903398e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.719821e+03,4.815716e+03,7.404380e+02,4.523181e+01,2.125029e+00
140,1.890000e+02,7.300000e+01,7.100000e+01,1.275730e+04,0.000000e+00,7.408033e+02,6.821235e+01,3.204675e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.162773e+04,1.129565e+03,7.408033e+02,6.502159e+01,3.054770e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.048595e+04,1.141774e+03,7.408033e+02,6.164971e+01,2.896356e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.725290e+03,4.760640e+03,7.408033e+02,4.525377e+01,2.126061e+00
141,1.880000e+02,7.300000e+01,7.100000e+01,1.285765e+04,0.000000e+00,7.365145e+02,6.831410e+01,3.209455e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.176699e+04,1.090661e+03,7.365145e+02,6.525423e+01,3.065700e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.057996e+04,1.187021e+03,7.365145e+02,6.177384e+01,2.902188e+00,1.880000e+02,7.300000e+01,7.100000e+01,5.845185e+03,4.734754e+03,7.365145e+02,4.561338e+01,2.142956e+00
142,1.890000e+02,7.300000e+01,7.100000e+01,1.278178e+04,0.000000e+00,7.402991e+02,6.828004e+01,3.207855e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.166777e+04,1.114001e+03,7.402991e+02,6.513701e+01,3.060193e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.051165e+04,1.156116e+03,7.402991e+02,6.172738e+01,2.900005e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.733372e+03,4.778252e+03,7.402991e+02,4.528621e+01,2.127585e+00
143,1.910000e+02,7.400000e+01,7.200000e+01,1.296923e+04,0.000000e+00,7.388388e+02,6.914690e+01,3.203462e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.184732e+04,1.121898e+03,7.388388e+02,6.598785e+01,3.057108e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.066312e+04,1.184198e+03,7.388388e+02,6.250219e+01,2.895623e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.782376e+03,4.880719e+03,7.388388e+02,4.571871e+01,2.118072e+00
144,1.910000e+02,7.400000e+01,7.200000e+01,1.294720e+04,0.000000e+00,7.393277e+02,6.908609e+01,3.200644e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.184456e+04,1.102629e+03,7.393277e+02,6.597992e+01,3.056741e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.065085e+04,1.193707e+03,7.393277e+02,6.246518e+01,2.893908e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.794894e+03,4.855934e+03,7.393277e+02,4.576896e+01,2.120400e+00
145,1.860000e+02,7.200000e+01,7.000000e+01,1.256512e+04,0.000000e+00,7.404754e+02,6.715718e+01,3.200175e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.149433e+04,1.070786e+03,7.404754e+02,6.413604e+01,3.056212e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.034919e+04,1.145133e+03,7.404754e+02,6.075997e+01,2.895335e+00,1.860000e+02,7.200000e+01,7.000000e+01,5.681901e+03,4.667264e+03,7.404754e+02,4.472511e+01,2.131241e+00
146,1.910000e+02,7.400000e+01,7.200000e+01,1.296639e+04,0.000000e+00,7.389530e+02,6.913907e+01,3.203099e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.183571e+04,1.130671e+03,7.389530e+02,6.595447e+01,3.055561e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.065513e+04,1.180578e+03,7.389530e+02,6.247808e+01,2.894506e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.799382e+03,4.855722e+03,7.389530e+02,4.578696e+01,2.121234e+00
147,1.860000e+02,7.200000e+01,7.000000e+01,1.263240e+04,0.000000e+00,7.391924e+02,6.734305e+01,3.209032e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.153692e+04,1.095479e+03,7.391924e+02,6.425857e+01,3.062050e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.040994e+04,1.126966e+03,7.391924e+02,6.094325e+01,2.904068e+00,1.860000e+02,7.200000e+01,7.000000e+01,5.766829e+03,4.643091e+03,7.391924e+02,4.506356e+01,2.147369e+00
148,1.910000e+02,7.400000e+01,7.200000e+01,1.299313e+04,0.000000e+00,7.381228e+02,6.921285e+01,3.206517e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.185978e+04,1.133351e+03,7.381228e+02,6.602365e+01,3.058766e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.068026e+04,1.179516e+03,7.381228e+02,6.255386e+01,2.898017e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.824284e+03,4.855947e+03,7.381228e+02,4.588674e+01,2.125857e+00
149,1.890000e+02,7.300000e+01,7.100000e+01,1.271176e+04,0.000000e+00,7.417095e+02,6.808625e+01,3.198750e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.160325e+04,1.108513e+03,7.417095e+02,6.495090e+01,3.051449e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.044244e+04,1.160804e+03,7.417095e+02,6.151796e+01,2.890166e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.647534e+03,4.794878e+03,7.417095e+02,4.494054e+01,2.111345e+00
150,1.910000e+02,7.400000e+01,7.200000e+01,1.298703e+04,0.000000e+00,7.385003e+02,6.919603e+01,3.205737e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.185849e+04,1.128540e+03,7.385003e+02,6.601994e+01,3.058595e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.068435e+04,1.174136e+03,7.385003e+02,6.256618e+01,2.898588e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.836127e+03,4.848195e+03,7.385003e+02,4.593412e+01,2.128052e+00
151,1.880000e+02,7.300000e+01,7.100000e+01,1.280619e+04,0.000000e+00,7.376676e+02,6.817242e+01,3.202799e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.169531e+04,1.110874e+03,7.376676e+02,6.504875e+01,3.056046e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.053523e+04,1.160084e+03,7.376676e+02,6.163927e+01,2.895866e+00,1.880000e+02,7.300000e+01,7.100000e+01,5.765745e+03,4.769456e+03,7.376676e+02,4.529730e+01,2.128106e+00
152,1.910000e+02,7.400000e+01,7.200000e+01,1.295998e+04,0.000000e+00,7.392140e+02,6.912139e+01,3.202279e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.183130e+04,1.128674e+03,7.392140e+02,6.594178e+01,3.054974e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.065155e+04,1.179743e+03,7.392140e+02,6.246730e+01,2.894007e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.794619e+03,4.856910e+03,7.392140e+02,4.576786e+01,2.120349e+00
153,1.890000e+02,7.300000e+01,7.100000e+01,1.273767e+04,0.000000e+00,7.413425e+02,6.815801e+01,3.202121e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.162827e+04,1.109393e+03,7.413425e+02,6.502314e+01,3.054843e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.047423e+04,1.154039e+03,7.413425e+02,6.161423e+01,2.894689e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.709039e+03,4.765164e+03,7.413425e+02,4.518847e+01,2.122993e+00
154,1.910000e+02,7.400000e+01,7.200000e+01,1.300368e+04,0.000000e+00,7.380269e+02,6.924193e+01,3.207864e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.188116e+04,1.122512e+03,7.380269e+02,6.608507e+01,3.061612e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.072706e+04,1.154101e+03,7.380269e+02,6.269477e+01,2.904545e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.898166e+03,4.828866e+03,7.380269e+02,4.618158e+01,2.139516e+00
155,1.890000e+02,7.300000e+01,7.100000e+01,1.272409e+04,0.000000e+00,7.414819e+02,6.812040e+01,3.200355e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.160822e+04,1.115866e+03,7.414819e+02,6.496525e+01,3.052123e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.044195e+04,1.166258e+03,7.414819e+02,6.151650e+01,2.890098e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.649887e+03,4.792043e+03,7.414819e+02,4.495005e+01,2.111792e+00
156,1.910000e+02,7.400000e+01,7.200000e+01,1.292812e+04,0.000000e+00,7.396425e+02,6.903340e+01,3.198203e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.180625e+04,1.121870e+03,7.396425e+02,6.586969e+01,3.051634e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.060387e+04,1.202371e+03,7.396425e+02,6.232327e+01,2.887334e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.736804e+03,4.867045e+03,7.396425e+02,4.553532e+01,2.109576e+00
157,1.860000e+02,7.200000e+01,7.000000e+01,1.256872e+04,0.000000e+00,7.405674e+02,6.716715e+01,3.200650e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.147275e+04,1.095970e+03,7.405674e+02,6.407388e+01,3.053249e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.034597e+04,1.126775e+03,7.405674e+02,6.075024e+01,2.894871e+00,1.860000e+02,7.200000e+01,7.000000e+01,5.653870e+03,4.692074e+03,7.405674e+02,4.461287e+01,2.125893e+00
158,1.930000e+02,7.500000e+01,7.300000e+01,1.311368e+04,0.000000e+00,7.384683e+02,6.989505e+01,3.193764e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.193596e+04,1.177717e+03,7.384683e+02,6.657715e+01,3.042157e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.070859e+04,1.227370e+03,7.384683e+02,6.295695e+01,2.876737e+00,1.930000e+02,7.500000e+01,7.300000e+01,5.703450e+03,5.005112e+03,7.384683e+02,4.563415e+01,2.085194e+00
159,1.890000e+02,7.300000e+01,7.100000e+01,1.274811e+04,0.000000e+00,7.412384e+02,6.818692e+01,3.203480e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.162738e+04,1.120728e+03,7.412384e+02,6.502057e+01,3.054722e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.047170e+04,1.155671e+03,7.412384e+02,6.160660e+01,2.894331e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.678016e+03,4.793665e+03,7.412384e+02,4.506358e+01,2.117125e+00
160,1.910000e+02,7.400000e+01,7.200000e+01,1.295735e+04,0.000000e+00,7.392495e+02,6.911413e+01,3.201943e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.181536e+04,1.141981e+03,7.392495e+02,6.589593e+01,3.052849e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.062892e+04,1.186435e+03,7.392495e+02,6.239898e+01,2.890841e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.765330e+03,4.863570e+03,7.392495e+02,4.565019e+01,2.114898e+00
161,1.930000e+02,7.500000e+01,7.300000e+01,1.317732e+04,0.000000e+00,7.368471e+02,7.007042e+01,3.201777e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.202361e+04,1.153707e+03,7.368471e+02,6.682903e+01,3.053666e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.079451e+04,1.229098e+03,7.368471e+02,6.321635e+01,2.888589e+00,1.930000e+02,7.500000e+01,7.300000e+01,5.835545e+03,4.958937e+03,7.368471e+02,4.616793e+01,2.109584e+00
162,1.860000e+02,7.200000e+01,7.000000e+01,1.258452e+04,0.000000e+00,7.400931e+02,6.721084e+01,3.202731e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.149659e+04,1.087934e+03,7.400931e+02,6.414254e+01,3.056521e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.036323e+04,1.133353e+03,7.400931e+02,6.080236e+01,2.897355e+00,1.860000e+02,7.200000e+01,7.000000e+01,5.719345e+03,4.643858e+03,7.400931e+02,4.487462e+01,2.138366e+00
163,1.890000e+02,7.300000e+01,7.100000e+01,1.276736e+04,0.000000e+00,7.406488e+02,6.824017e+01,3.205982e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.166379e+04,1.103564e+03,7.406488e+02,6.512555e+01,3.059654e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.051156e+04,1.152222e+03,7.406488e+02,6.172713e+01,2.899993e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.747961e+03,4.763579e+03,7.406488e+02,4.534472e+01,2.130334e+00
164,1.860000e+02,7.200000e+01,7.000000e+01,1.258465e+04,0.000000e+00,7.400650e+02,6.721117e+01,3.202747e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.150385e+04,1.080792e+03,7.400650e+02,6.416345e+01,3.057517e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.037305e+04,1.130792e+03,7.400650e+02,6.083201e+01,2.898768e+00,1.860000e+02,7.200000e+01,7.000000e+01,5.719836e+03,4.653191e+03,7.400650e+02,4.487658e+01,2.138459e+00
165,1.890000e+02,7.300000e+01,7.100000e+01,1.274947e+04,0.000000e+00,7.409260e+02,6.819066e+01,3.203656e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.164685e+04,1.102612e+03,7.409260e+02,6.507672e+01,3.057360e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.047852e+04,1.168323e+03,7.409260e+02,6.162722e+01,2.895300e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.702256e+03,4.776240e+03,7.409260e+02,4.516119e+01,2.121712e+00
166,1.890000e+02,7.300000e+01,7.100000e+01,1.274728e+04,0.000000e+00,7.407416e+02,6.818461e+01,3.203371e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.163333e+04,1.113942e+03,7.407416e+02,6.503774e+01,3.055529e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.048467e+04,1.148655e+03,7.407416e+02,6.164583e+01,2.896174e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.720365e+03,4.764282e+03,7.407416e+02,4.523399e+01,2.125132e+00
167,1.900000e+02,7.400000e+01,7.200000e+01,1.302745e+04,0.000000e+00,7.355251e+02,6.913151e+01,3.202748e+00,1.900000e+02,7.400000e+01,7.200000e+01,1.189892e+04,1.128533e+03,7.355251e+02,6.596764e+01,3.056171e+00,1.900000e+02,7.400000e+01,7.200000e+01,1.071520e+04,1.183708e+03,7.355251e+02,6.249906e+01,2.895478e+00,1.900000e+02,7.400000e+01,7.200000e+01,5.874335e+03,4.840843e+03,7.355251e+02,4.596738e+01,2.129593e+00
168,1.890000e+02,7.300000e+01,7.100000e+01,1.271712e+04,0.000000e+00,7.420645e+02,6.810110e+01,3.199448e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.160588e+04,1.111237e+03,7.420645e+02,6.495851e+01,3.051806e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.043266e+04,1.173218e+03,7.420645e+02,6.148832e+01,2.888774e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.633741e+03,4.798893e+03,7.420645e+02,4.488476e+01,2.108724e+00
169,1.890000e+02,7.300000e+01,7.100000e+01,1.276363e+04,0.000000e+00,7.409276e+02,6.822984e+01,3.205496e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.165066e+04,1.112959e+03,7.409276e+02,6.508771e+01,3.057876e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.048514e+04,1.165517e+03,7.409276e+02,6.164724e+01,2.896240e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.726126e+03,4.758989e+03,7.409276e+02,4.525713e+01,2.126219e+00
170,1.860000e+02,7.200000e+01,7.000000e+01,1.263449e+04,0.000000e+00,7.387970e+02,6.734882e+01,3.209307e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.154381e+04,1.090678e+03,7.387970e+02,6.427839e+01,3.062994e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.042406e+04,1.119747e+03,7.387970e+02,6.098575e+01,2.906094e+00,1.860000e+02,7.200000e+01,7.000000e+01,5.766110e+03,4.657924e+03,7.387970e+02,4.506070e+01,2.147233e+00
171,1.930000e+02,7.500000e+01,7.300000e+01,1.316824e+04,0.000000e+00,7.370759e+02,7.004541e+01,3.200635e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.200955e+04,1.158685e+03,7.370759e+02,6.678868e+01,3.051823e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.079940e+04,1.210146e+03,7.370759e+02,6.323109e+01,2.889263e+00,1.930000e+02,7.500000e+01,7.300000e+01,5.810996e+03,4.988377e+03,7.370759e+02,4.606917e+01,2.105071e+00
